ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
36,London,Wimbledon,04/07/2025,Grand Slam,Outdoor,Grass,3rd Round,5,Khachanov K.,Borges N.,20,37,2240,1400,7,6,4,6,4,6,6,3,7,6,3,2,Completed,1.4,3,1.44,3.03,1.48,3.05,1.41,2.89
36,London,Wimbledon,04/07/2025,Grand Slam,Outdoor,Grass,3rd Round,5,Alcaraz C.,Struff J.L.,2,125,9300,475,6,1,3,6,6,3,6,4,,,3,1,Completed,1.04,11,1.05,15.53,1.05,18,1.03,12.61
36,London,Wimbledon,05/07/2025,Grand Slam,Outdoor,Grass,3rd Round,5,Cobolli F.,Mensik J.,24,17,2035,2356,6,2,6,4,6,2,,,,,3,0,Completed,2.5,1.53,2.67,1.54,2.7,1.58,2.53,1.51
36,London,Wimbledon,05/07/2025,Grand Slam,Outdoor,Grass,3rd Round,5,Sinner J.,Martinez P.,1,52,10430,1030,6,1,6,3,6,1,,,,,3,0,Completed,1.01,19,1.01,41.19,1.01,75,1.01,28.17
36,London,Wimbledon,05/07/2025,Grand Slam,Outdoor,Grass,3rd Round,5,Dimitrov G.,Ofner S.,21,165,2155,343,6,3,6,4,7,6,,,,,3,0,Completed,1.29,3.75,1.31,3.83,1.33,3.9,1.29,3.63
36,London,Wimbledon,05/07/2025,Grand Slam,Outdoor,Grass,3rd Round,5,Sonego L.,Nakashima B.,47,34,1171,1650,6,7,7,6,7,6,3,6,7,6,3,2,Completed,2.6,1.5,2.74,1.52,2.78,1.55,2.57,1.5
36,London,Wimbledon,05/07/2025,Grand Slam,Outdoor,Grass,3rd Round,5,De Minaur A.,Holmgren A.,11,192,3085,285,6,4,7,6,6,3,,,,,3,0,Completed,1.06,8,1.08,10.76,1.08,12,1.06,9.13
36,London,Wimbledon,05/07/2025,Grand Slam,Outdoor,Grass,3rd Round,5,Cilic M.,Munar J.,83,55,722,1012,6,3,3,6,6,2,6,4,,,3,1,Completed,1.53,2.5,1.58,2.55,1.61,2.62,1.54,2.46
36,London,Wimbledon,05/07/2025,Grand Slam,Outdoor,Grass,3rd Round,5,Shelton B.,Fucsovics M.,10,105,3130,564,6,3,7,6,6,2,,,,,3,0,Completed,1.3,3.6,1.32,3.77,1.33,4,1.29,3.6
36,London,Wimbledon,05/07/2025,Grand Slam,Outdoor,Grass,3rd Round,3,Djokovic N.,Kecmanovic M.,6,49,4630,1106,6,3,6,0,6,4,,,,,3,0,Completed,1.04,9.5,1.05,15.38,1.05,19.5,1.03,13.67
36,London,Wimbledon,06/07/2025,Grand Slam,Outdoor,Grass,4th Round,5,Khachanov K.,Majchrzak K.,20,109,2240,527,6,4,6,2,6,3,,,,,3,0,Completed,1.36,3.2,1.38,3.36,1.4,3.4,1.35,3.19
36,London,Wimbledon,06/07/2025,Grand Slam,Outdoor,Grass,4th Round,5,Fritz T.,Thompson J.,5,44,4635,1200,6,1,3,0,,,,,,,1,0,Retired,1.14,5.5,1.15,6.36,1.16,6.8,1.14,5.64
36,London,Wimbledon,06/07/2025,Grand Slam,Outdoor,Grass,4th Round,5,Norrie C.,Jarry N.,61,143,952,418,6,3,7,6,6,7,6,7,6,3,3,2,Completed,1.83,1.91,1.87,2.04,2.1,2.08,1.84,1.96
36,London,Wimbledon,06/07/2025,Grand Slam,Outdoor,Grass,4th Round,5,Alcaraz C.,Rublev A.,2,14,9300,2920,6,7,6,3,6,4,6,4,,,3,1,Completed,1.08,7,1.1,8.57,1.11,9.4,1.09,7.5
36,London,Wimbledon,07/07/2025,Grand Slam,Outdoor,Grass,4th Round,5,Cobolli F.,Cilic M.,24,83,2035,722,6,4,6,4,6,7,7,6,,,3,1,Completed,1.83,2,1.88,2.03,1.89,2.1,1.79,2.01
36,London,Wimbledon,07/07/2025,Grand Slam,Outdoor,Grass,4th Round,5,Djokovic N.,De Minaur A.,6,11,4630,3085,1,6,6,4,6,4,6,4,,,3,1,Completed,1.17,5,1.2,5.22,1.2,5.9,1.17,5.04
36,London,Wimbledon,07/07/2025,Grand Slam,Outdoor,Grass,4th Round,5,Shelton B.,Sonego L.,10,47,3130,1171,3,6,6,1,7,6,7,5,,,3,1,Completed,1.29,3.75,1.32,3.76,1.32,4.3,1.27,3.76
36,London,Wimbledon,07/07/2025,Grand Slam,Outdoor,Grass,4th Round,5,Sinner J.,Dimitrov G.,1,21,10430,2155,3,6,5,7,2,2,,,,,0,2,Retired,1.03,13,1.03,18.06,1.05,18.06,1.03,13.83
36,London,Wimbledon,08/07/2025,Grand Slam,Outdoor,Grass,Quarterfinals,5,Fritz T.,Khachanov K.,5,20,4635,2240,6,3,6,4,1,6,7,6,,,3,1,Completed,1.29,3.75,1.29,4.06,1.31,4.2,1.27,3.76
36,London,Wimbledon,08/07/2025,Grand Slam,Outdoor,Grass,Quarterfinals,5,Alcaraz C.,Norrie C.,2,61,9300,952,6,2,6,3,6,3,,,,,3,0,Completed,1.06,9,1.07,10.89,1.07,13.5,1.05,9.96
36,London,Wimbledon,09/07/2025,Grand Slam,Outdoor,Grass,Quarterfinals,5,Sinner J.,Shelton B.,1,10,10430,3130,7,6,6,4,6,4,,,,,3,0,Completed,1.25,3.6,1.32,3.6,1.34,3.9,1.29,3.58
36,London,Wimbledon,09/07/2025,Grand Slam,Outdoor,Grass,Quarterfinals,5,Djokovic N.,Cobolli F.,6,24,4630,2035,6,7,6,2,7,5,6,4,,,3,1,Completed,1.1,7,1.11,8.33,1.12,8.6,1.09,7.53
36,London,Wimbledon,11/07/2025,Grand Slam,Outdoor,Grass,Semifinals,5,Alcaraz C.,Fritz T.,2,5,9300,4635,6,4,5,7,6,3,7,6,,,3,1,Completed,1.17,4.75,1.2,5.13,1.24,5.25,1.17,4.98
36,London,Wimbledon,11/07/2025,Grand Slam,Outdoor,Grass,Semifinals,5,Sinner J.,Djokovic N.,1,6,10430,4630,6,3,6,3,6,4,,,,,3,0,Completed,1.4,2.8,1.47,2.93,1.47,3.05,1.42,2.85
36,London,Wimbledon,13/07/2025,Grand Slam,Outdoor,Grass,The Final,5,Sinner J.,Alcaraz C.,1,2,10430,9300,4,6,6,4,6,4,6,4,,,3,1,Completed,1.83,2,1.85,2.07,1.87,2.07,1.82,1.98
