date,match_id,p1_name,p2_name,bet_on,bet_amount,is_win,actual_winner,p1_prob,p2_prob,p1_market,p2_market,pnl,balance,surface
2025-01-06,42756,Denis Shapovalov,Zhizhen Zhang,P1,5.954127431095361,True,P1,0.635330930352211,0.364669069647789,1.7063829787234042,2.41566265060241,4.205894270475872,1004.2058942704758,Hard
2025-01-06,42783,Nuno Borges,Luciano Darderi,P2,0.5425737365972224,False,P1,0.684826597571373,0.315173402428627,1.4444444444444442,3.25,-0.5425737365972224,1003.6633205338786,Hard
2025-01-06,42757,Alejandro Davidovich Fokina,Roberto Bautista Agut,P2,10.495026054007033,False,P1,0.4238228499889374,0.5761771500110626,1.8660287081339713,2.154696132596685,-10.495026054007033,993.1682944798716,Hard
2025-01-06,42784,Roberto Carballes Baena,Daniel Altmaier,P2,7.06614274679319,False,P1,0.6254099160432816,0.37459008395671844,1.3714285714285712,3.6923076923076916,-7.06614274679319,986.1021517330785,Hard
2025-01-06,42758,Christopher O'Connell,Arthur Rinderknech,P2,9.566812307251228,False,P1,0.48159022629261017,0.5184097737073898,1.6735537190082643,2.4846625766871164,-9.566812307251228,976.5353394258273,Hard
2025-01-06,42759,Thanasi Kokkinakis,Yoshihito Nishioka,P2,11.83042576892839,False,P1,0.4378703832626343,0.5621296167373657,1.7304347826086959,2.3690476190476186,-11.83042576892839,964.7049136568988,Hard
2025-01-06,42786,Alex Michelsen,Sumit Nagal,P1,9.478863423773943,True,P1,0.8273269310593605,0.1726730689406395,1.2737306843267107,4.653225806451613,2.594655771629069,967.2995694285279,Hard
2025-01-06,42787,Mariano Navone,Adrian Mannarino,P1,2.82793739971823,True,P1,0.42449313402175903,0.575506865978241,2.5723270440251573,1.6360000000000001,4.446442452387155,971.746011880915,Hard
2025-01-06,42760,Li Tu,James Duckworth,P1,5.817027608620018,True,P1,0.49984273314476013,0.5001572668552399,2.3157894736842106,1.7599999999999998,7.653983695552656,979.3999955764677,Hard
2025-01-06,42761,Manuel Guinard,Roman Safiullin,P1,5.664769116583223,True,P1,0.28743264079093933,0.7125673592090607,5.1487603305785115,1.2410358565737052,23.501769392766754,1002.9017649692345,Hard
2025-01-06,42788,Luca Nardi,Flavio Cobolli,P2,20.05803529938469,False,P1,0.14484841376543045,0.8551515862345695,2.7828947368421053,1.5608856088560885,-20.05803529938469,982.8437296698498,Hard
