date,match_id,p1_name,p2_name,bet_on,bet_amount,is_win,actual_winner,p1_prob,p2_prob,p1_market,p2_market,pnl,balance,surface
2025-01-06,42756,Denis Shapovalov,Zhizhen Zhang,P1,1.3999935104904377,True,P1,0.5976258814334869,0.40237411856651306,1.7063829787234042,2.41566265060241,0.9889315861336708,1000.9889315861336,Hard
2025-01-06,42783,Nuno Borges,Luciano Darderi,P1,5.350816239989001,True,P1,0.7252032607793808,0.2747967392206192,1.4444444444444442,3.25,2.3781405511062212,1003.3670721372398,Hard
2025-01-06,42757,Alejandro Davidovich Fokina,Roberto Bautista Agut,P2,8.037558297842848,False,P1,0.45004038512706757,0.5499596148729324,1.8660287081339713,2.154696132596685,-8.037558297842848,995.329513839397,Hard
2025-01-06,42784,Roberto Carballes Baena,Daniel Altmaier,P2,5.107255521750476,False,P1,0.6543363630771637,0.3456636369228363,1.3714285714285712,3.6923076923076916,-5.107255521750476,990.2222583176465,Hard
2025-01-06,42758,Christopher O'Connell,Arthur Rinderknech,P2,10.250506335974583,False,P1,0.47382138669490814,0.5261786133050919,1.6735537190082643,2.4846625766871164,-10.250506335974583,979.9717519816719,Hard
2025-01-06,42759,Thanasi Kokkinakis,Yoshihito Nishioka,P2,10.226080242708514,False,P1,0.45728303492069244,0.5427169650793076,1.7304347826086959,2.3690476190476186,-10.226080242708514,969.7456717389634,Hard
2025-01-06,42786,Alex Michelsen,Sumit Nagal,P1,9.043052344424858,True,P1,0.8251758143305779,0.17482418566942215,1.2737306843267107,4.653225806451613,2.4753609066416815,972.2210326456051,Hard
2025-01-06,42787,Mariano Navone,Adrian Mannarino,P1,4.540934429330963,True,P1,0.4458518475294113,0.5541481524705887,2.5723270440251573,1.6360000000000001,7.139834008382017,979.360866653987,Hard
2025-01-06,42760,Li Tu,James Duckworth,P1,6.776624115614495,True,P1,0.5104481279850006,0.4895518720149994,2.3157894736842106,1.7599999999999998,8.916610678440126,988.2774773324272,Hard
2025-01-06,42761,Manuel Guinard,Roman Safiullin,P1,3.4010114096802817,True,P1,0.24968086928129196,0.750319130718708,5.1487603305785115,1.2410358565737052,14.109981220326455,1002.3874585527536,Hard
2025-01-06,42788,Luca Nardi,Flavio Cobolli,P2,20.047749171055074,False,P1,0.15091507136821747,0.8490849286317825,2.7828947368421053,1.5608856088560885,-20.047749171055074,982.3397093816985,Hard
2025-01-06,42789,Lorenzo Sonego,Gabriel Diallo,P1,5.757611598813259,True,P1,0.550668478012085,0.44933152198791504,2.0366492146596857,1.9646464646464645,5.968623542225263,988.3083329239238,Hard
2025-01-06,42762,Marcos Giron,Aleksandar Vukic,P1,2.486612548817031,True,P1,0.5141742825508118,0.48582571744918823,2.0473684210526315,1.9547738693467334,2.6043994590241533,990.912732382948,Hard
